,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost,first_word
240,32,Male,Munich,QA Engineer,9.0,3.0,Senior,QA,Java / Scala,76000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No,QA
241,34,Male,Berlin,Software Engineer,10.0,10.0,Senior,C++,Python,76000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,C
242,31,Male,Moscow,Data Scientist,2.5,0.0,Lead,Python,Python,20000.0,30.0,full-time,Unlimited contract,Russian,1000+,Bank,No,Python
243,33,Male,Munich,Software Engineer,10.0,4.0,Senior,C#,Javascript / Typescript,78000.0,30.0,full-time,Unlimited contract,German,51-100,Product,No,C
244,32,Male,Berlin,Backend Developer,4.0,1.0,Senior,Ruby,"Python, SQL, Go, AWS, Kubernetes, Docker",65000.0,28.0,full-time,Unlimited contract,English,51-100,Product,No,Ruby
245,47,Male,Hamburg,Software Engineer,22.0,10.0,Senior,C++/C#,"C/C++, .NET, SQL",46000.0,30.0,full-time,Unlimited contract,English,up to 10,Product,No,C
246,29,Male,Berlin,Backend Developer,8.0,1.5,Middle,Go,Python,65000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Go
247,28,Male,Munich,Software Engineer,5.0,6.0,Senior,C++,"Python, C/C++",67000.0,20.0,freelancer,Unlimited contract,English,up to 10,Startup,Yes,C
248,25,Male,Hamburg,Data Scientist,2.0,2.0,Middle,Python,.NET,48000.0,28.0,full-time,Unlimited contract,German,11-50,Product,No,Python
249,32,Male,Munich,SAP Developer,9.0,1.0,Senior,ABAP,SAP / ABAP,70800.0,30.0,full-time,Unlimited contract,German,1000+,Consulting / Agency,No,ABAP
250,26,Male,Frankfurt,Software Engineer,3.0,1.0,Middle,Python ,"Python, Java / Scala",48000.0,27.0,full-time,Unlimited contract,English,51-100,Consulting / Agency,No,Python
251,29,Male,Munich,Mobile Developer,8.0,0.25,Senior,Java/Kotlin,"Kotlin, C/C++, Java / Scala",65400.0,30.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No,Java
252,40,Male,Berlin,Backend Developer,18.0,2.5,Senior,php,"PHP, SQL, Go, Docker, Postgres",60000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No,php
253,27,Male,Munich,Software Engineer,5.0,1.0,Senior,Javascript,"Javascript / Typescript, Go",65000.0,22.0,full-time,Unlimited contract,English,51-100,Product,No,Javascript
254,30,Male,Berlin,DevOps,9.0,5.0,Lead,Kubernetes,"Python, Google Cloud, Kubernetes, Docker",90000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,Kubernetes
255,30,Male,Hamburg,Software Engineer,6.0,0.0,Middle,.NET,"Javascript / Typescript, .NET, SQL, Docker",60000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No,nan
256,29,Male,Munich,SW Architect,8.0,3.0,Senior,C++,"Python, C/C++, Docker",73000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,C
257,37,Male,Heidelberg,Software Engineer,15.0,7.0,Senior,ABAP,"Javascript / Typescript, SAP / ABAP",67500.0,30.0,full-time,Unlimited contract,English,1000+,Product,No,ABAP
258,28,Male,Berlin,SRE,6.0,1.5,Middle,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",66000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,Kubernetes
259,28,Male,Stuttgart,Backend Developer,5.0,1.5,Middle,Java,Linux,55000.0,30.0,full-time,Unlimited contract,German,101-1000,Product,No,Java
260,33,Male,Berlin,Software Engineer,13.0,3.0,Senior,Ruby,"Ruby, Java / Scala, Go, AWS, Kubernetes, Docker",75000.0,27.0,full-time,Unlimited contract,English,1000+,Product,No,Ruby
